id,date,direction,duration,source,category,summary
CAL0199c5830347718ca8bcbf2b9f9b7e81,2025-10-08,inbound,117,Lafayette GMB,INCOMPLETE,Garbled internal conversation
CAL0199c5bdefc37133959c3198672852cb,2025-10-08,inbound,10,Orinda GMB,SPAM,Google listing flagged scam
CAL0199c618242375b9b987d18f9831e422,2025-10-08,inbound,133,Lafayette GMB,OPERATIONS,VX Printing plan payment for 867-15-Ave
CAL0199c61c41d17e5aa4614ff3f06a54cb,2025-10-08,inbound,256,ROLLE- Lead Center,OPERATIONS,Real estate disclosures for Carmen Court via Glide
CAL0199c98fbf5f7dbc95809af13202e4ce,2025-10-09,inbound,30,Rhino Retaining Walls & Pavers Oakland,SPAM,Press 0/9 opt out robocall scam
CAL0199c9aa62ca724d8c0127922df3e471,2025-10-09,inbound,31,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199c9d6a43e7d19b8b7795be251d3e2,2025-10-09,inbound,3,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Press button robocall
CAL0199c9d6c4177e5aa8bb154cefae2ba7,2025-10-09,inbound,42,Rhino Drainage System Bay Area,SPAM,Google voice listing scam
CAL0199ca464bad7ef896c95e14f83a6891,2025-10-09,inbound,6,Orinda GMB,INCOMPLETE,Brief greeting with no content
CAL0199ca47830f7bbe809c1a7eb7d35cc9,2025-10-09,inbound,6,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Digital activation department spam
CAL0199ca5711247cc980228ea26af13d54,2025-10-09,inbound,6,Orinda GMB,INCOMPLETE,Brief greeting only
CAL0199ca5cac4b765893aa0893ff00587a,2025-10-09,inbound,7,Orinda GMB,INCOMPLETE,Brief greeting - construction company
CAL0199ca736cca7628a4beb0b8a0ce446f,2025-10-09,inbound,3,Lafayette GMB,SPAM,Press button robocall
CAL0199ca8a71417cf4a9e7d1d5bda36dcf,2025-10-09,inbound,7,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Brief greeting - construction company
CAL0199ca9cfdfd71fa9bc32ce99be9bf65,2025-10-09,inbound,39,Lafayette GMB,OPERATIONS,Internal call - Rolly refresh check
CAL0199ceb4386a780388a1425444ae56e2,2025-10-10,inbound,40,Rhino Concrete Oakland,SPAM,Press 0/9 opt out robocall scam
CAL0199cee2fdb37a0dbfd86781576b8cd6,2025-10-10,inbound,7,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Brief greeting only
CAL0199cf20b93a73e792e073403a37d87f,2025-10-10,inbound,77,Lafayette GMB,OPERATIONS,City of Lafayette permit call about erosion control at 1099 Via Media
CAL0199cf3b1ba77d82981bbad6ca949202,2025-10-10,inbound,2,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Press for information robocall
CAL0199cf7a6eec78fd83199a0bed0eae88,2025-10-10,inbound,2,Home Remodelers Orinda,SPAM,Business outreach group spam
CAL0199cfa083e77791b15ad0e7d917a2d7,2025-10-10,inbound,8,Orinda GMB,SPAM,Voice activations department spam
CAL0199cfa981e370369fcc6e8be8e14bca,2025-10-10,inbound,9,Lafayette GMB,INCOMPLETE,Brief greeting with no response
CAL0199cfb03cf97586b0c422aaf4e78206,2025-10-10,inbound,45,Lafayette GMB,NOT_FIT,Foundation work inquiry from Santa Rosa - outside service area
CAL0199cfbb2251707498f60a3a32dbed5c,2025-10-10,inbound,50,Lafayette GMB,OPERATIONS,Internal call scheduling - Daniel Thursday next week
CAL0199cfe932a5710d9f097a8f577ca5ec,2025-10-10,inbound,39,Orinda GMB,SPAM,Workers compensation insurance telemarketing
CAL0199cffc0ca17c64ad1bc09eef0d8c27,2025-10-10,inbound,18,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Google business listing verification scam
CAL0199de1bf2fb73c6ac16496cceb032ea,2025-10-13,inbound,30,Home Remodelers Orinda,SPAM,Press 0/9 opt out robocall scam
CAL0199de471a467418a781af4d75d6f8e4,2025-10-13,inbound,39,Oakland ADU Builder & Room Addition,SPAM,Press 0/9 opt out robocall scam
CAL0199de4cfdf37d1baf932e79a95b6aec,2025-10-13,inbound,56,Orinda GMB,SYSTEM,Houzz automated inquiry notification
CAL0199de853ee57d25a1661335c0fb0724,2025-10-13,inbound,47,Orinda GMB,SYSTEM,Houzz project inquiry connection call
CAL0199ded478db75929f9e8469fb252cd1,2025-10-13,inbound,25,Pleasant Hill GMB,SPAM,Third party referral solicitation
CAL0199defe0b0e7c1585abacb7764054d0,2025-10-13,inbound,2,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Press button robocall
CAL0199df2c6dc97ec79b67922c827e5d99,2025-10-13,inbound,55,Lafayette GMB,OPERATIONS,Internal status check with Rolly
CAL0199e2683a2b7a98b4f6f8ea5f120849,2025-10-14,inbound,23,Orinda GMB,SPAM,Google partner listing scam
CAL0199e359551d77c7b3558f9b103e4a5d,2025-10-14,inbound,41,Orinda GMB,SPAM,QuickBooks integration scam
CAL0199e35a67c37ddea48a16ddfc573650,2025-10-14,inbound,33,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199e35fa250787ea304e3babbad5ff7,2025-10-14,inbound,38,Lafayette GMB,SPAM,QuickBooks Paygration scam
CAL0199e3970810752081d520ec06c41224,2025-10-14,inbound,3,Lafayette GMB,SPAM,Press button robocall
CAL0199e3bffc9b7bd6b556779cbf155021,2025-10-14,inbound,6,Orinda GMB,INCOMPLETE,Brief greeting - Mike
CAL0199e42c10277ef9c3b3db47b2e7b814,2025-10-14,inbound,58,Pleasant Hill GMB,SPAM,3D visualization/rendering services sales call
CAL0199e43270ac7737aa83335566acecab,2025-10-14,inbound,10,Orinda GMB,SPAM,Digital activation department spam
CAL0199e434bd487c64bd31e0a01c63e20b,2025-10-14,inbound,50,Orinda GMB,SPAM,3D visualization rendering services sales
CAL0199e434f76672bdaa26c0063fee507e,2025-10-14,inbound,10,Pleasant Hill GMB,INCOMPLETE,Wrong number call
CAL0199e439a9297be2b5dbdc7de2d6611b,2025-10-14,inbound,7,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Digital activation department spam
CAL0199e45991877f7587938945a0abedb0,2025-10-14,inbound,14,Lafayette GMB,OPERATIONS,Internal call - Rolly see you tomorrow
CAL0199e468c9827312bacb3885d2212b0a,2025-10-14,inbound,64,Oakland ADU Builder & Room Addition,SPAM,Google business listing keyword scam
CAL0199e48197eb7eafa6d50171ded5547f,2025-10-14,inbound,34,Rhino Concrete Livermore,INCOMPLETE,Brief greeting - no response from caller
CAL0199e884a6887625b05c75f90bb5d254,2025-10-15,inbound,62,Pleasant Hill GMB,SPAM,Google business listing keyword scam
CAL0199e88f431e7fde8d859a282480e1f6,2025-10-15,inbound,62,Rhino Concrete Danville,SPAM,Google business listing keyword scam
CAL0199e8c029147a9db8ff79c4c0786e66,2025-10-15,inbound,7,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Brief greeting only
CAL0199e8c1002172b09765d519d1b21e02,2025-10-15,inbound,53,Rhino Builder Website Number,SPAM,Modern Home Builders magazine feature pitch
CAL0199e8d28794728fa8683dfbb7a246cd,2025-10-15,inbound,7,Lafayette GMB,SPAM,Digital activation department spam
CAL0199e91fad3e74889406b1021193f53f,2025-10-15,inbound,7,Rhino Concrete Bay Area,SPAM,Asking for owner - likely sales
CAL0199e980840d74e79cbde2ccf9349b6f,2025-10-15,inbound,147,Lafayette GMB,OPERATIONS,Habitat for Humanity lien release job discussion
CAL0199e99ab431700cb29ff36816b716b7,2025-10-15,inbound,19,Pleasant Hill GMB,SPAM,Google listing verification scam
CAL0199ea3b01c07aa78c68f7087992e708,2025-10-15,inbound,63,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Prank Orbit Google ranking feedback scam
CAL0199ea3f63787f6ca99b2e61fb320275,2025-10-15,inbound,54,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Rank Orbit Google profile feedback scam
CAL0199ea4ed7487217b23f381cdc177573,2025-10-15,inbound,51,Pleasanton Window Replacement & Siding,CUSTOMER,Vintage Apartments canceling window service appointment
CAL0199edb2609e72c4a08c5a7a039804bf,2025-10-16,inbound,30,Rhino Retaining Walls & Pavers Oakland,SPAM,Press 0/9 opt out robocall scam
CAL0199edf6fa207f868cd7639ef6bed3f1,2025-10-16,inbound,34,Rhino Drainage System Bay Area,SPAM,Google listing verification scam
CAL0199ee3c48dd715d8e5c7dc44a12b84d,2025-10-16,inbound,2,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Press button robocall
CAL0199ee4e72d47fbf945d1dc6f408a6c0,2025-10-16,inbound,5,Lafayette GMB,INCOMPLETE,Brief greeting only
CAL0199ee5a24ce7edc9149e85b60aeb559,2025-10-16,inbound,34,Rhino Retaining Walls & Pavers Oakland,SPAM,Google listing verification scam
CAL0199ee62e1c5768f95f8f438849983ba,2025-10-16,inbound,90,ROLLE- Lead Center,CUSTOMER,James Nakamura scheduling consultation appointment
CAL0199eeb066307f86b02dae6260ac977c,2025-10-16,inbound,24,Lafayette GMB,OPERATIONS,Internal call - green man punch out
CAL0199f2df9b5e79a4914eb300231c1070,2025-10-17,inbound,30,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL0199f2fb002e753680bc02345b0af942,2025-10-17,inbound,58,ROLLE- Lead Center,OPERATIONS,Bayardo subcontractor payment inquiry for Lido Discovery
CAL0199f301a37e7e8da0799fa0ba76564f,2025-10-17,inbound,34,Rhino Concrete Danville,SPAM,Google listing verification scam
CAL0199f33861f87ce59832ba59895eea26,2025-10-17,inbound,34,Orinda GMB,SPAM,Google listing verification scam
CAL0199f350b64a796cb220df44f1525699,2025-10-17,inbound,34,Rhino Concrete Livermore,SPAM,Google listing verification scam
CAL0199f36bb5e57589b8dcba5678aa407b,2025-10-17,inbound,34,Oakland ADU Builder & Room Addition,SPAM,Google listing verification scam
CAL0199f3c9c9467f13a596870b0394e1ba,2025-10-17,inbound,71,Orinda GMB,OPERATIONS,German drywall worker seeking employment
CAL0199f3d91f4876dcb14ac9e105011e7f,2025-10-17,inbound,200,Orinda GMB,OPERATIONS,Crash Champions auto body shop update on Ford Raptor repair
CAL0199f414234c7c55839d76955c7d6431,2025-10-17,inbound,34,Orinda GMB,SPAM,Construction services sales pitch
CAL0199f417a7747cab9d89c367a4ef6beb,2025-10-17,inbound,75,ROLLE- Lead Center,OPERATIONS,Frank Testing Engineers scheduling rebar inspection Oct 23
CAL0199f445b7d77ceb8ab68cecd2a7a018,2025-10-17,inbound,141,ROLLE- Lead Center,CUSTOMER,James Nakamura scheduling Monday 1pm consultation in San Jose
CAL019a02295dea71339bef9839014fb53e,2025-10-20,inbound,29,Rhino Retaining Walls & Pavers Oakland,SPAM,Press 0/9 opt out robocall scam
CAL019a022e83957978b1c1cb8969e08c0d,2025-10-20,inbound,31,Rhino Concrete Oakland,SPAM,Press 0/9 opt out robocall scam
CAL019a024ce8f075d78ead821d3bc85665,2025-10-20,inbound,34,Lafayette GMB,SPAM,Google listing verification scam
CAL019a0277060678f1863031cd0c1a0a35,2025-10-20,inbound,3,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Listing department scam
CAL019a02e896ed7df597bfdb8e3a6fdf04,2025-10-20,inbound,4,Orinda GMB,INCOMPLETE,Brief greeting only
CAL019a02e8bcd5752a9e21b300edaf4f83,2025-10-20,inbound,81,Lafayette GMB,NOT_FIT,Foundation inspection inquiry from Santa Rosa - outside service area
CAL019a031274217d8789dc0d6db7cc8f0c,2025-10-20,inbound,64,Orinda GMB,OPERATIONS,German drywall worker seeking employment - 15 years experience
CAL019a033cd7f27bafa8f3fe5ca476d3b8,2025-10-20,inbound,1209,Lafayette GMB,OPERATIONS,Accounting reconciliation call - subcontractor payments Excel review
CAL019a03500b6c7280963eb32c8ffbc6fb,2025-10-20,inbound,18,Oakland ADU Builder & Room Addition,INCOMPLETE,Brief greeting - no caller response
CAL019a035725ce75f88a3e17bed258a966,2025-10-20,inbound,19,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Brief greeting - no caller response
CAL019a0359c06878cda80dc3a7cc449cef,2025-10-20,inbound,15,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Google business verification scam
CAL019a035d80437201ab3ab8a9a468aaa1,2025-10-20,inbound,29,Oakland ADU Builder & Room Addition,INCOMPLETE,Brief greeting - no caller response
CAL019a0384c63773679303211e3b6948d1,2025-10-20,inbound,21,Orinda GMB,INCOMPLETE,Brief greeting - no caller response
CAL019a038e27db7fa9ab4ec849f6990be1,2025-10-20,inbound,16,Lafayette GMB,INCOMPLETE,Brief greeting - no caller response
CAL019a03ac2d897d079996db45b3ad8fa0,2025-10-20,inbound,24,Rhino Concrete Oakland,INCOMPLETE,Brief greeting - no caller response
CAL019a03b0e27a7cc98ff96a14363f9894,2025-10-20,inbound,389,Lafayette GMB,NOT_FIT,Post tension slab GPR survey inquiry from Gilroy - outside service area
CAL019a03b2d5c07244bdffda2b4bb89c0f,2025-10-20,inbound,70,Rhino Drainage System Bay Area,SPAM,Business broker M&A advisory sales pitch
CAL019a076c72a87cb39b41843e8cb4a19a,2025-10-21,inbound,30,Rhino Concrete Oakland,SPAM,Press 0/9 opt out robocall scam
CAL019a077af4777a8c957272d1a2473abb,2025-10-21,inbound,33,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,EMG listings opt out scam
CAL019a07a724137f6383c7092f3b9e17e5,2025-10-21,inbound,9,Lafayette GMB,SPAM,Telemarketing call from Maria
CAL019a07ae9329796f94cd90c1cac619d7,2025-10-21,inbound,69,Rhino Siding & Window Replacement,NOT_FIT,Mobile home material inquiry - not service offered
CAL019a07b00ea476ec9a47fd5169b7712e,2025-10-21,inbound,274,Rhino Drainage System Bay Area,CUSTOMER,Shilpa in Palo Alto - drain system replacement pavers and fill
CAL019a07b8a02c7741ae67fd7752639e30,2025-10-21,inbound,2,Rhino Retaining Walls & Pavers Oakland,SPAM,Press button robocall
CAL019a07c70a7d7fe69c57bb2b17bfbe84,2025-10-21,inbound,43,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,Montclair Golf Course - asking for owner
CAL019a07c9eccb7539bba03661af57fb90,2025-10-21,inbound,458,Rhino Concrete Oakland,CUSTOMER,Kelly Kuykendall realtor - driveway regrade quote at 29 Live Oak Road Oakland - scheduled 10/22 1pm
CAL019a084605be7372ab09a4325cda4adc,2025-10-21,inbound,3,Rhino Bathroom & Kitchen Remodel Oakland,SPAM,UMG listing department robocall
CAL019a087b677573bb92621bf809af7b5d,2025-10-21,inbound,427,Rhino Concrete Oakland,CUSTOMER,Andrew Ballman in Oakland - CMU garden wall concrete pathway and garbage corral - scheduled same day 2-3pm
CAL019a0880ea647f268242d482b0056db9,2025-10-21,inbound,30,Rhino Retaining Walls & Pavers Oakland,SPAM,Automated press 0/9 to opt out message
CAL019a0898c5007483937c1088e02d8241,2025-10-21,inbound,18,Orinda GMB,INCOMPLETE,Just hello from Roli - caller silent
CAL019a089a752d7e9e8ca92ed434bda1aa,2025-10-21,inbound,16,Rhino Concrete Danville,INCOMPLETE,Just hello from Roli
CAL019a08a02ba879c18cdaf9591791476b,2025-10-21,inbound,18,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Just hello - no conversation
CAL019a08a1ee9a730fb66b7d0eb557e29e,2025-10-21,inbound,17,Orinda GMB,INCOMPLETE,Just hello - no conversation
CAL019a08dd68a17b1ca542a57ee6928d37,2025-10-21,inbound,40,Rhino Concrete Oakland,CUSTOMER,Andrew Ballman follow-up asking if consultation still happening
CAL019a08e26d057c438867b4a8bd4e0673,2025-10-21,inbound,16,Oakland ADU Builder & Room Addition,INCOMPLETE,Just hello from Roli
CAL019a08e941587718857f25edcf454460,2025-10-21,inbound,94,Orinda GMB,SPAM,Bearstar Insurance workers comp quote sales call
CAL019a090d2d6875689669b150dd3208ad,2025-10-21,inbound,51,Lafayette GMB,SPAM,Generic sales voicemail with callback number
CAL019a099bdf4c7a169f796ef0d28cb132,2025-10-21,inbound,49,Oakland ADU Builder & Room Addition,SPAM,Small Business Lending line of credit offer
CAL019a0c899c4a7c75ac2e15e89f7583ae,2025-10-22,inbound,30,Home Remodelers Orinda,SPAM,Automated press 0/9 to opt out message
CAL019a0c9407ca7fdf8d6f59f42e9177c4,2025-10-22,inbound,32,Oakland ADU Builder & Room Addition,SPAM,Google Voice listing removal scam
CAL019a0c9c96db704a9a5808bb3e55882c,2025-10-22,inbound,31,ADU San Jose,SPAM,Google Voice listing removal scam
CAL019a0cc0a67d72e58442f044e11ca4a1,2025-10-22,inbound,8,Rhino Bathroom & Kitchen Remodel Oakland,INCOMPLETE,Just hello good morning
CAL019a0cc903e873cc97546a8b0de1984a,2025-10-22,inbound,5,Oakland ADU Builder & Room Addition,SPAM,Business listing sales call
CAL019a0cd9232b779d8b01afc939f6e3d0,2025-10-22,inbound,4,ADU San Jose,SPAM,Business listing sales call
CAL019a0ce2553a7629aa307a660f94808f,2025-10-22,inbound,25,Orinda GMB,SPAM,Estimation and takeoff services sales call
CAL019a0cf52a217534b008039235e1245a,2025-10-22,inbound,3,Oakland ADU Builder & Room Addition,SPAM,Please press to immediately - robocall
CAL019a0d01c1ec7b88a3a85bb0a571f6be,2025-10-22,inbound,100,Rhino Builder Website Number,CUSTOMER,Shilpa follow-up about missed drain estimate appointment - rescheduled to 2:30-3pm
CAL019a0d0867317840855b4d8510255866,2025-10-22,inbound,2,Rhino Concrete Livermore,SPAM,Please press to - robocall
CAL019a0d0c355075dab56e3ade39a5285b,2025-10-22,inbound,43,Pleasant Hill GMB,SPAM,Google listing press 2 scam
CAL019a0d1c078b70a495871192975156bc,2025-10-22,inbound,4,ADU San Jose,SPAM,Business listing call
CAL019a0d20b0f571f1acf05a1d877fd66a,2025-10-22,inbound,2,Rhino Concrete Lafayette,SPAM,Press 2 listing scam
CAL019a0d26b5b1726f8cde72e5366d5495,2025-10-22,inbound,59,Orinda GMB,CUSTOMER,Brendan Millette rescheduling Oakland Hills appointment
CAL019a0d29f1b7786ba1082638ec0964eb,2025-10-22,inbound,4,Oakland ADU Builder & Room Addition,SPAM,Business listing call
CAL019a0d4f33d974e7bbc19f5921db08a7,2025-10-22,inbound,25,Rhino Concrete Oakland,CUSTOMER,Kelly Kuykendall confirming 1pm 29 Live Oak appointment
CAL019a0d5882fd73d5835bcd97c9881a28,2025-10-22,inbound,7,Orinda GMB,INCOMPLETE,Very short call
CAL019a0d5ea59c752785cdb2229c869e20,2025-10-22,inbound,65,Rhino Concrete Lafayette,SPAM,Housecall Pro CRM sales call
CAL019a0d5f080271379376c513eb3b1e18,2025-10-22,inbound,4,ADU San Jose,SPAM,Listing call cutoff
CAL019a0d72757a73ad9148a22b7c73aa1b,2025-10-22,inbound,4,Oakland ADU Builder & Room Addition,SPAM,Business listing call
CAL019a0d7c46b9738b852361623dc5a62f,2025-10-22,inbound,7,Oakland ADU Builder & Room Addition,SPAM,Speaking to business owner sales call
CAL019a0d8ec32e70439399c8b6b5b38bb6,2025-10-22,inbound,39,Orinda GMB,OPERATIONS,Internal call - phone number exchange
CAL019a0d94bfee7fd489f36c4d1309b77e,2025-10-22,inbound,184,Lafayette GMB,OPERATIONS,Internal call - sharing photos and files
CAL019a0dae8ddd7004b3101501f49534e0,2025-10-22,inbound,28,Rhino Retaining Walls & Pavers Oakland,SPAM,Merchant Service Center sales call
CAL019a0db43b097c7abf18161f3bd46837,2025-10-22,inbound,34,Orinda GMB,SPAM,Customized T-shirts hats toys sales call
CAL019a0dbe82f3719e848aae2b17607f33,2025-10-22,inbound,19,Orinda GMB,INCOMPLETE,Very short call - no meaningful content
CAL019a0e38b6ab7c4d9ede2fcb121fb482,2025-10-22,inbound,198,Pleasant Hill GMB,OPERATIONS,Countertop fabricator Bradley seeking subcontract work
CAL019a11b51f23736ea7eaac0207634d02,2025-10-23,inbound,53,ROLLE- Lead Center,OPERATIONS,Efren checking on fireplace meeting with owner
CAL019a11b8d2207b7e980f1697951b1aac,2025-10-23,inbound,31,Oakland ADU Builder & Room Addition,SPAM,Google Voice listing opt-out scam voicemail
CAL019a11ccf30874229fd8c981613ad4d1,2025-10-23,inbound,17,Lafayette GMB,INCOMPLETE,Just hello greeting
CAL019a11d460217cdbaa469af5ae14e9db,2025-10-23,inbound,11,Rhino Concrete Livermore,SPAM,Google listing scam - records showing suspended
CAL019a11dd77e97e0d82b14e13fe0f4362,2025-10-23,inbound,17,Rhino Concrete Lafayette,INCOMPLETE,Just hello greeting
CAL019a11edd18d7a2eb29a8390191a67a9,2025-10-23,inbound,13,Rhino Concrete Oakland,SPAM,Google listing scam - prevent customers from finding
CAL019a121c0dc371458165e6c92a75eaed,2025-10-23,inbound,16,Rhino Drainage System Bay Area,INCOMPLETE,Just hello greeting
CAL019a124bd5787e37b61df6f6a4cf1b7d,2025-10-23,inbound,14,Orinda GMB,INCOMPLETE,Just hello greeting
CAL019a126b2c447531a33d757fc73a40a9,2025-10-23,inbound,20,Home Remodelers Orinda,INCOMPLETE,Just hello greeting
CAL019a1287c53f7252b764483f38226985,2025-10-23,inbound,12,Rhino Concrete Lafayette,SPAM,Google listing scam - prevent customers from finding
CAL019a12a8b7367b61a4f6c34a9394149f,2025-10-23,inbound,59,Lafayette GMB,SPAM,Voicemail with phone number only
CAL019a12aacaac72acab44deb8f0d14b8d,2025-10-23,inbound,553,Lafayette GMB,OPERATIONS,Internal call discussing MSI payment QuickBooks and scheduling
CAL019a12bda1f37b52abbf7ec9c8328b6b,2025-10-23,inbound,24,Lafayette GMB,SPAM,Press 9 to opt out scam
CAL019a12c0bf0b7383910aba1efdeab3b0,2025-10-23,inbound,15,Oakland ADU Builder & Room Addition,SPAM,Google listing scam - not optimized
CAL019a12c5da23786284049dcfe180945e,2025-10-23,inbound,63,ROLLE- Lead Center,OPERATIONS,Dana from Ledding NY confirming ship-to address for Troy lights order
